monitoring:                 buffer:                       max speed:   diff:   average:
['64kbps', '62408', 49]     [0, 51, 49, 94, 44, 51, 49]   62408        0       48.286
+1 ts, current 1-2
['128kbps', '120408', 22]   [0, 0, 19, 19, 19, 50, 22]    120408       0       18.429
['128kbps', '128752', 27]   [0, 19, 19, 19, 50, 22, 27]   128752       0       22.286
+1 ts, current 1-3
['192kbps', '170152', 0]    [0, 0, 0, 0, 0, 0, 0]         170152       0       0.0
['192kbps', '173456', 0]    [0, 0, 0, 0, 0, 0, 0]         173456       0       0.0
['192kbps', '172432', 0]    [0, 0, 0, 0, 0, 0, 0]         173456       1024    0.0
['192kbps', '170984', 0]    [0, 0, 0, 0, 0, 0, 0]         173456       2472    0.0
['192kbps', '176840', 0]    [0, 0, 0, 0, 0, 0, 0]         176840       0       0.0
['192kbps', '167200', 0]    [0, 0, 0, 0, 0, 0, 0]         176840       9640    0.0
['192kbps', '160448', 0]    [0, 0, 0, 0, 0, 0, 0]         176840       16392   0.0
['192kbps', '171104', 0]    [0, 0, 0, 0, 0, 0, 0]         176840       5736    0.0
['192kbps', '168416', 0]    [0, 0, 0, 0, 0, 0, 0]         176840       8424    0.0
['192kbps', '173480', 0]    [0, 0, 0, 0, 0, 0, 0]         176840       3360    0.0
['192kbps', '171904', 0]    [0, 0, 0, 0, 0, 0, 0]         176840       4936    0.0
['192kbps', '171800', 0]    [0, 0, 0, 0, 0, 0, 0]         176840       5040    0.0
['192kbps', '169528', 0]    [0, 0, 0, 0, 0, 0, 0]         176840       7312    0.0
['192kbps', '172712', 0]    [0, 0, 0, 0, 0, 0, 0]         176840       4128    0.0
['192kbps', '173568', 0]    [0, 0, 0, 0, 0, 0, 0]         176840       3272    0.0
['192kbps', '180920', 0]    [0, 0, 0, 0, 0, 0, 0]         180920       0       0.0
['192kbps', '175416', 0]    [0, 0, 0, 0, 0, 0, 0]         180920       5504    0.0
['192kbps', '172056', 0]    [0, 0, 0, 0, 0, 0, 0]         180920       8864    0.0
['192kbps', '168472', 0]    [0, 0, 0, 0, 0, 0, 0]         180920       12448   0.0
['192kbps', '178688', 0]    [0, 0, 0, 0, 0, 0, 0]         180920       2232    0.0
['192kbps', '171712', 0]    [0, 0, 0, 0, 0, 0, 0]         180920       9208    0.0
['192kbps', '171208', 0]    [0, 0, 0, 0, 0, 0, 0]         180920       9712    0.0
['192kbps', '174600', 0]    [0, 0, 0, 0, 0, 0, 0]         180920       6320    0.0
['192kbps', '179104', 0]    [0, 0, 0, 0, 0, 0, 0]         180920       1816    0.0
['192kbps', '171240', 0]    [0, 0, 0, 0, 0, 0, 0]         180920       9680    0.0
['192kbps', '167720', 0]    [0, 0, 0, 0, 0, 0, 0]         180920       13200   0.0
['192kbps', '171072', 0]    [0, 0, 0, 0, 0, 0, 0]         180920       9848    0.0
['192kbps', '170896', 0]    [0, 0, 0, 0, 0, 0, 0]         180920       10024   0.0
['192kbps', '173352', 0]    [0, 0, 0, 0, 0, 0, 0]         180920       7568    0.0
['192kbps', '170184', 0]    [0, 0, 0, 0, 0, 0, 0]         180920       10736   0.0
['192kbps', '171008', 0]    [0, 0, 0, 0, 0, 0, 0]         180920       9912    0.0
['192kbps', '176120', 0]    [0, 0, 0, 0, 0, 0, 0]         180920       4800    0.0
['192kbps', '170904', 0]    [0, 0, 0, 0, 0, 0, 0]         180920       10016   0.0
['192kbps', '170104', 0]    [0, 0, 0, 0, 0, 0, 0]         180920       10816   0.0
['192kbps', '172264', 0]    [0, 0, 0, 0, 0, 0, 0]         180920       8656    0.0
['192kbps', '169392', 0]    [0, 0, 0, 0, 0, 0, 0]         180920       11528   0.0
['192kbps', '172416', 0]    [0, 0, 0, 0, 0, 0, 0]         180920       8504    0.0
['192kbps', '168840', 0]    [0, 0, 0, 0, 0, 0, 0]         180920       12080   0.0
['192kbps', '0', 0]         [0, 0, 0, 0, 0, 0, 0]         180920       180920  0.0
-1 ts, current 1-2
['128kbps', '136', 0]       [0, 0, 0, 0, 0, 0, 0]         136          0       0.0
['128kbps', '0', 0]         [0, 0, 0, 0, 0, 0, 0]         136          136     0.0
['128kbps', '0', 0]         [0, 0, 0, 0, 0, 0, 0]         136          136     0.0
['128kbps', '0', 0]         [0, 0, 0, 0, 0, 0, 0]         136          136     0.0
['128kbps', '5112', 0]      [0, 0, 0, 0, 0, 0, 0]         5112         0       0.0
['128kbps', '112', 0]       [0, 0, 0, 0, 0, 0, 0]         5112         5000    0.0
['128kbps', '112', 0]       [0, 0, 0, 0, 0, 0, 0]         5112         5000    0.0
['128kbps', '0', 0]         [0, 0, 0, 0, 0, 0, 0]         5112         5112    0.0
['128kbps', '592', 0]       [0, 0, 0, 0, 0, 0, 0]         5112         4520    0.0
['128kbps', '0', 0]         [0, 0, 0, 0, 0, 0, 0]         5112         5112    0.0
['128kbps', '0', 0]         [0, 0, 0, 0, 0, 0, 0]         5112         5112    0.0
['128kbps', '112', 0]       [0, 0, 0, 0, 0, 0, 0]         5112         5000    0.0
['128kbps', '592', 0]       [0, 0, 0, 0, 0, 0, 0]         5112         4520    0.0
['128kbps', '0', 0]         [0, 0, 0, 0, 0, 0, 0]         5112         5112    0.0
['128kbps', '0', 0]         [0, 0, 0, 0, 0, 0, 0]         5112         5112    0.0
['128kbps', '0', 0]         [0, 0, 0, 0, 0, 0, 0]         5112         5112    0.0
['128kbps', '0', 0]         [0, 0, 0, 0, 0, 0, 0]         5112         5112    0.0
['128kbps', '704', 0]       [0, 0, 0, 0, 0, 0, 0]         5112         4408    0.0
